trialNumber,time,PositionX,PositionZ
1,0.000,0,-1.4
1,0.103,-15.87729,3.11286
1,0.211,-15.87729,3.11286
1,0.319,-15.87729,3.11286
1,0.420,-15.87729,3.11286
1,0.527,-15.87729,3.11286
1,0.628,-15.87729,3.11286
1,0.736,-15.87729,3.11286
1,0.844,-15.87729,3.11286
1,0.944,-15.87729,3.11286
1,1.053,-15.87729,3.11286
1,1.153,-15.87729,3.11286
1,1.261,-15.87729,3.11286
1,1.369,-15.87729,3.11286
1,1.478,-15.87729,3.11286
1,1.586,-15.87729,3.11286
1,1.686,-15.87729,3.11286
1,1.787,-15.87729,3.11286
1,1.894,-15.87729,3.11286
1,1.995,-15.87729,3.11286
1,2.103,-15.87729,3.11286
1,2.211,-15.87729,3.11286
1,2.319,-15.87729,3.11286
1,2.428,-15.87729,3.11286
1,2.545,-15.87729,3.11286
1,2.661,-15.87729,3.11286
1,2.770,-15.87729,3.11286
1,2.878,-15.87729,3.11286
1,2.986,-15.87729,3.11286
1,3.094,-15.87729,3.11286
1,3.195,-15.87729,3.11286
1,3.303,-15.87729,3.11286
1,3.411,-15.87642,3.118967
1,3.512,-15.87005,3.162312
1,3.620,-15.86846,3.173054
1,3.728,-15.85533,3.262479
1,3.828,-15.85338,3.275773
1,3.936,-15.84773,3.31461
1,4.053,-15.84058,3.362974
1,4.153,-15.83522,3.398969
1,4.253,-15.83522,3.398969
1,4.361,-15.83522,3.398969
1,4.469,-15.83522,3.398969
1,4.578,-15.83522,3.398969
1,4.678,-15.83522,3.398969
1,4.778,-15.83498,3.401062
1,4.886,-15.82959,3.448087
1,4.986,-15.82765,3.464934
1,5.103,-15.82197,3.514291
1,5.219,-15.8164,3.562758
1,5.319,-15.81225,3.598846
1,5.420,-15.81225,3.598846
1,5.528,-15.81225,3.598846
1,5.644,-15.80509,3.668956
1,5.745,-15.79939,3.723643
1,5.853,-15.79939,3.723643
1,5.961,-15.79939,3.723643
1,6.070,-15.79939,3.723643
1,6.178,-15.79939,3.723643
1,6.294,-15.79939,3.723643
1,6.395,-15.79939,3.723643
1,6.503,-15.79939,3.723643
1,6.611,-15.79939,3.723643
1,6.711,-15.79939,3.723643
1,6.820,-15.79939,3.723643
1,6.928,-15.79939,3.723643
1,7.036,-15.79939,3.723643
1,7.144,-15.79939,3.723643
1,7.253,-15.79939,3.723643
1,7.357,-15.79939,3.723643
1,7.457,-15.79939,3.723643
1,7.565,-15.79939,3.723643
1,7.674,-15.79939,3.723643
1,7.782,-15.79939,3.723643
1,7.882,-15.79939,3.723643
1,7.991,-15.79939,3.723643
1,8.098,-15.79939,3.723643
1,8.198,-15.79939,3.723643
1,8.307,-15.79939,3.723643
1,8.407,-15.79939,3.723643
1,8.515,-15.81433,3.791489
1,8.623,-15.90511,4.019358
1,8.732,-16.12901,4.37471
1,8.832,-16.39673,4.680324
1,8.940,-16.61267,4.87417
1,9.040,-16.7793,5.031617
1,9.148,-16.76618,5.071382
1,9.249,-16.77471,5.055177
1,9.365,-16.81629,4.958054
1,9.465,-16.85783,4.853998
1,9.570,-16.92187,4.676898
1,9.673,-17.02367,4.399932
1,9.774,-17.13472,4.092535
1,9.874,-17.21503,3.850447
1,9.982,-17.26398,3.703106
1,10.090,-17.27133,3.681017
1,10.199,-17.27133,3.681017
1,10.307,-17.27133,3.681017
1,10.407,-17.27133,3.681017
1,10.515,-17.27133,3.681017
1,10.615,-17.27133,3.681017
1,10.715,-17.27133,3.681017
1,10.816,-17.27133,3.681017
1,10.923,-17.27133,3.681017
1,11.032,-17.27133,3.681017
1,11.140,-17.27133,3.681017
1,11.240,-17.27133,3.681017
1,11.349,-17.27133,3.681017
1,11.457,-17.27133,3.681017
1,11.557,-17.27133,3.681017
1,11.665,-17.27133,3.681017
1,11.766,-17.27133,3.681017
1,11.873,-17.27133,3.681017
1,11.973,-17.27133,3.681017
1,12.074,-17.27133,3.681017
1,12.174,-17.27133,3.681017
1,12.278,-17.27133,3.681017
1,12.386,-17.27133,3.681017
1,12.486,-17.27133,3.681017
1,12.594,-17.27133,3.681017
1,12.703,-17.27133,3.681017
1,12.803,-17.27133,3.681017
1,12.903,-17.27133,3.681017
1,13.011,-17.27133,3.681017
1,13.119,-17.27133,3.681017
1,13.220,-17.27133,3.681017
1,13.328,-17.27121,3.679993
1,13.436,-17.25545,3.57199
1,13.536,-17.19939,3.320659
1,13.644,-17.04325,2.900149
1,13.753,-16.76873,2.434121
1,13.861,-16.41157,2.028926
1,13.961,-16.01939,1.719704
1,14.140,-15.19642,1.381321
1,14.241,-15.57615,1.496511
1,14.348,-15.53499,1.50732
1,14.448,-15.53748,1.521542
1,14.549,-15.54178,1.536071
1,14.657,-15.54955,1.549586
1,14.765,-15.57689,1.539651
1,14.870,-15.54108,1.584862
1,14.974,-15.61204,1.507058
1,15.082,-15.61758,1.500688
1,15.190,-15.61758,1.500688
1,15.290,-15.61758,1.500688
1,15.398,-15.61758,1.500688
1,15.515,-15.61758,1.500688
1,15.615,-15.61758,1.500688
1,15.724,-15.61758,1.500688
1,15.840,-15.61758,1.500688
1,15.949,-15.61758,1.500688
1,16.049,-15.61758,1.500688
1,16.157,-15.61758,1.500688
1,16.273,-15.61758,1.500688
1,16.382,-15.61758,1.500688
1,16.490,-15.61758,1.500688
1,16.598,-15.61758,1.500688
1,16.715,-15.61758,1.500688
1,16.823,-15.61758,1.500688
1,16.940,-15.61758,1.500688
1,17.048,-15.61758,1.500688
1,17.149,-15.61758,1.500688
1,17.257,-15.61758,1.500688
1,17.365,-15.61758,1.500688
1,17.465,-15.61758,1.500688
1,17.565,-15.61758,1.500688
1,17.674,-15.61758,1.500688
1,17.782,-15.61758,1.500688
1,17.890,-15.61758,1.500688
1,17.990,-15.61758,1.500688
1,18.090,-15.61758,1.500688
1,18.194,-15.61758,1.500688
1,18.303,-15.61758,1.500688
1,18.419,-15.61758,1.500688
1,18.519,-15.61758,1.500688
1,18.628,-15.61758,1.500688
1,18.728,-15.61758,1.500688
1,18.837,-15.61758,1.500688
1,18.944,-15.61758,1.500688
1,19.044,-15.61758,1.500688
1,19.144,-15.61758,1.500688
1,19.261,-15.61758,1.500688
1,19.369,-15.61758,1.500688
1,19.470,-15.61758,1.500688
1,19.586,-15.61758,1.500688
1,19.686,-15.61758,1.500688
1,19.794,-15.61758,1.500688
1,19.894,-15.61758,1.500688
1,20.003,-15.61758,1.500688
