PositionX, PositionZ
0,-1.4
0,-1.4
0,-1.4
0,-1.4
0,-1.4
0,-1.4
0,-1.4
0,-1.4
0,-1.4
0,-1.4
0,-1.4
0,-1.4
0,-1.4
0,-1.4
0,-1.4
0,-1.4
0,-1.4
0.02474378,-1.296029
0.1247732,-1.050223
0.3456883,-0.6970599
0.6809565,-0.3220012
1.082672,-0.007494614
1.53019,0.2292399
2.012003,0.3832218
2.529224,0.4508497
3.035186,0.4257587
3.524483,0.3133647
3.985053,0.1189934
4.418942,-0.1437777
4.823667,-0.4436682
5.21872,-0.7612536
5.611084,-1.079419
5.994732,-1.406026
6.351065,-1.758755
6.665442,-2.163329
6.901389,-2.605675
7.056485,-3.081931
7.126592,-3.583783
7.108105,-4.08282
7.003204,-4.571602
6.824126,-5.038575
6.596382,-5.485982
6.340727,-5.929049
6.087072,-6.360239
5.832788,-6.792499
5.576988,-7.227335
5.322666,-7.65966
5.068708,-8.092596
4.827615,-8.531783
4.613564,-8.984822
4.407775,-9.450496
4.205454,-9.909312
4.003294,-10.36768
3.795846,-10.8232
3.580843,-11.28334
3.366241,-11.74262
3.154564,-12.19563
2.935138,-12.65106
2.697873,-13.09562
2.453446,-13.54037
2.210939,-13.98161
1.969398,-14.42109
1.723925,-14.8624
1.458458,-15.29365
1.152359,-15.69662
0.7929771,-16.04632
