PositionX, PositionZ
0,-1.4
0,-1.4
0,-1.4
0,-1.4
0,-1.4
0,-1.4
0,-1.4
0,-1.4
0,-1.4
0,-1.4
0,-1.4
0,-1.4
0,-1.4
0,-1.4
0,-1.4
0,-1.4
0,-1.4
0,-1.4
0,-1.4
0,-1.4
0,-1.4
0,-1.4
0,-1.4
0,-1.4
0,-1.4
0,-1.4
0,-1.4
0,-1.4
0,-1.4
0,-1.4
0,-1.4
0,-1.4
0,-1.4
0,-1.4
0,-1.4
0,-1.4
0,-1.4
0,-1.4
0,-1.4
0,-1.4
0,-1.4
0,-1.4
-0.1380372,-1.373154
-0.4584516,-1.310839
-0.894094,-1.226115
-1.411543,-1.12548
-1.905284,-1.029456
-2.384419,-0.9362732
-2.945137,-0.8272237
-3.441086,-0.7307704
-3.935921,-0.6345338
-4.427286,-0.5392791
-4.924208,-0.4556349
-5.494553,-0.405647
-6.002321,-0.4009995
-6.534814,-0.4076256
-7.003614,-0.4137186
-7.544585,-0.4207495
-8.075462,-0.4276492
-8.576833,-0.4341654
-9.083738,-0.4384115
-9.582085,-0.4205734
-10.08344,-0.3540545
-10.56313,-0.2154183
-11.07081,0.03897538
-11.44838,0.3250238
-11.80755,0.711496
-12.07753,1.13531
-12.2695,1.599578
-12.37829,2.092403
-12.41636,2.619641
-12.40402,3.122291
-12.3466,3.623533
-12.23181,4.073755
-12.01173,4.564423
-11.70903,4.999825
-11.34956,5.356281
-10.93884,5.640931
-10.456,5.861165
-9.967999,5.982983
-9.465527,6.021981
-9.001646,6.002848
-8.461029,5.940879
-8.009875,5.876482
-7.449382,5.766119
-6.973257,5.61499
-6.515948,5.410382
-6.070077,5.174903
-5.62577,4.939473
-5.170969,4.730846
-4.622526,4.554744
-4.132131,4.447612
-3.640886,4.326085
-3.127193,4.148046
-2.657415,3.901914
-2.256846,3.591689
-1.91711,3.219676
-1.649208,2.796403
-1.459037,2.333131
-1.351536,1.843368
-1.315495,1.343456
-1.325662,0.8406497
-1.355413,0.3405365
-1.387131,-0.1619758
-1.41496,-0.662205
-1.417894,-1.163544
-1.369747,-1.66138
-1.246385,-2.146324
-1.040923,-2.601983
-0.7579191,-3.016957
-0.4073862,-3.375604
-0.0007549165,-3.666843
0.4510075,-3.883295
0.9349909,-4.018014
1.432566,-4.066316
1.933874,-4.037896
2.428956,-3.958359
2.91948,-3.854142
3.410684,-3.745907
3.899971,-3.638094
4.391172,-3.529859
4.881332,-3.421707
5.368894,-3.304015
5.848715,-3.152149
6.303938,-2.943925
6.720126,-2.66183
7.079059,-2.313203
7.373103,-1.905375
7.591049,-1.453168
7.727695,-0.9705984
7.795348,-0.4745659
7.819065,0.02617664
7.824777,0.5271481
7.826672,1.030113
7.806627,1.532601
7.73843,2.029749
7.597436,2.511403
7.375642,2.960511
7.07822,3.365022
6.717747,3.709044
6.398818,3.93254
6.188723,4.049221
6.16684,4.060171
6.16684,4.060171
6.16684,4.060171
6.16684,4.060171
6.16684,4.060171
