PositionX, PositionZ
0,-1.4
0,-1.4
0,-1.4
0,-1.4
0,-1.4
0,-1.4
0.0008074425,-1.390086
0.02501824,-1.234242
0.1176126,-0.9352881
0.3285383,-0.5233765
0.6292532,-0.1237126
0.9978021,0.2198114
1.423182,0.4946956
1.888496,0.6925437
2.376514,0.8276443
2.873295,0.9240861
3.394118,1.008137
3.89499,1.063514
4.400197,1.072325
4.910963,1.046371
5.415817,1.011678
5.916679,0.9771783
6.418889,0.9425862
6.924706,0.9077458
7.429577,0.8729705
7.933324,0.8382726
8.438112,0.803503
8.945112,0.7690237
9.451704,0.7478799
9.956858,0.7605897
10.46247,0.7932647
10.9677,0.8276929
11.47928,0.8625534
11.98451,0.8969809
12.48556,0.9311241
12.99122,0.9655815
13.4975,1.000081
14.00418,1.034608
14.50763,1.068914
15.01635,1.10358
15.51561,1.137601
