trialNumber,time,PositionX,PositionZ
1,0.000,0,-1.4
1,0.105,-2.79594,-14
1,0.206,-2.79594,-14
1,0.306,-2.79594,-14
1,0.407,-2.79594,-14
1,0.522,-2.79594,-14
1,0.622,-2.79594,-14
1,0.723,-2.79594,-14
1,0.838,-2.79594,-14
1,0.939,-2.79594,-14
1,1.040,-2.797769,-13.99287
1,1.141,-2.830809,-13.86443
1,1.254,-2.921434,-13.54574
1,1.355,-3.078812,-13.12214
1,1.456,-3.312147,-12.67723
1,1.556,-3.617698,-12.27735
1,1.658,-3.991048,-11.93466
1,1.770,-4.447237,-11.60611
1,1.873,-4.851967,-11.2912
1,1.988,-5.268231,-10.89054
1,2.089,-5.567952,-10.48981
1,2.190,-5.795609,-10.04027
1,2.292,-5.94407,-9.549382
1,2.406,-6.033062,-8.989473
1,2.521,-6.112022,-8.41793
1,2.622,-6.211952,-7.926194
1,2.723,-6.315777,-7.429832
1,2.838,-6.390591,-6.861098
1,2.938,-6.388584,-6.359777
1,3.038,-6.302813,-5.866243
1,3.139,-6.132592,-5.395007
1,3.240,-5.880707,-4.958165
1,3.342,-5.552839,-4.569754
1,3.442,-5.166937,-4.248811
1,3.542,-4.732037,-4.000076
1,3.643,-4.25855,-3.830451
1,3.754,-3.710354,-3.741541
1,3.855,-3.207774,-3.75461
1,3.956,-2.77072,-3.842621
1,4.057,-2.498793,-3.948659
1,4.157,-2.275792,-4.089045
1,4.273,-1.918339,-4.419702
1,4.374,-1.592996,-4.806812
1,4.488,-1.218832,-5.236574
1,4.589,-0.8554964,-5.586102
1,4.689,-0.4586327,-5.893418
1,4.805,0.02003545,-6.21809
1,4.906,0.440508,-6.495195
1,5.021,0.9294953,-6.79701
1,5.122,1.376133,-7.034312
1,5.223,1.828862,-7.262202
1,5.340,2.349713,-7.524136
1,5.441,2.801147,-7.751161
1,5.556,3.315076,-8.009614
1,5.672,3.835497,-8.271332
1,5.773,4.284299,-8.497177
1,5.873,4.728522,-8.730865
1,5.988,5.227437,-9.012812
1,6.089,5.668139,-9.263224
1,6.189,6.103024,-9.51033
1,6.305,6.606423,-9.796368
