trialNumber,time,PositionX,PositionZ,HeadingDeg,DistanceToChest
1,0.000,0.4164279,14.14954,90.000,25.067
1,0.131,0.4164279,14.14954,90.000,25.067
1,0.263,0.4164279,14.14954,90.000,25.067
1,0.363,0.4164279,14.14954,90.000,25.067
1,0.463,0.4164279,14.14954,90.000,25.067
1,0.563,0.4164279,14.14954,90.000,25.067
1,0.663,0.4164279,14.14954,90.000,25.067
1,0.764,0.4164279,14.14954,89.275,25.067
1,0.864,0.4164279,14.14954,85.687,25.067
1,0.964,0.4249569,14.20175,79.085,25.119
1,1.064,0.4857677,14.41285,69.678,25.335
1,1.165,0.6472082,14.74709,59.639,25.681
1,1.265,0.9337025,15.14735,49.584,26.105
1,1.366,1.291851,15.49884,39.535,26.491
1,1.467,1.707575,15.78345,29.446,26.820
1,1.568,2.157912,15.98737,19.258,27.080
1,1.668,2.505688,16.07741,9.249,27.219
1,1.770,2.716103,16.0948,359.112,27.268
1,1.871,2.931486,16.06986,349.040,27.277
1,1.971,3.283123,15.96645,339.010,27.235
1,2.072,3.724459,15.74949,328.931,27.103
1,2.172,4.129688,15.45359,318.883,26.895
1,2.273,4.477751,15.09059,308.812,26.616
1,2.373,4.755735,14.67463,298.793,26.276
1,2.474,4.957784,14.21454,288.730,25.879
1,2.574,5.07613,13.72695,278.683,25.438
1,2.675,5.107891,13.22456,268.769,24.961
1,2.776,5.061446,12.72311,261.221,24.466
1,2.876,4.962794,12.22949,256.726,23.964
1,2.977,4.83889,11.74199,255.271,23.461
1,3.078,4.711011,11.25555,255.271,22.958
1,3.178,4.583779,10.77147,255.321,22.458
1,3.278,4.461043,10.2834,256.286,21.955
1,3.380,4.340306,9.788638,256.286,21.446
1,3.481,4.220066,9.299779,255.764,20.942
1,3.581,4.085087,8.815844,252.926,20.440
1,3.682,3.931079,8.336312,251.931,19.937
1,3.783,3.774954,7.856723,252.192,19.433
1,3.884,3.629923,7.375085,254.338,18.930
1,3.985,3.495238,6.884158,254.720,18.421
1,4.086,3.362638,6.398786,254.720,17.918
1,4.187,3.230136,5.913774,254.720,17.415
1,4.287,3.097453,5.428101,254.720,16.911
1,4.388,2.964899,4.942899,254.720,16.408
1,4.488,2.833123,4.460548,254.720,15.908
1,4.588,2.701344,3.978181,254.720,15.408
1,4.688,2.569188,3.494436,254.720,14.907
1,4.789,2.436511,3.008785,254.720,14.404
1,4.890,2.303807,2.523034,254.720,13.900
1,4.990,2.171371,2.038266,254.720,13.398
1,5.091,2.038827,1.5531,254.720,12.895
1,5.191,1.906908,1.070223,254.720,12.394
1,5.292,1.774097,0.5840805,254.720,11.890
1,5.392,1.641276,0.09790211,254.720,11.386
1,5.493,1.508712,-0.3873368,254.720,10.883
1,5.594,1.376283,-0.8720797,254.720,10.381
1,5.694,1.243609,-1.35772,254.720,9.877
1,5.794,1.111834,-1.840072,254.720,9.377
1,5.895,0.9790156,-2.326241,254.720,8.874
1,5.995,0.8468547,-2.810004,254.720,8.372
1,6.096,0.7141595,-3.295722,254.720,7.869
1,6.197,0.5814641,-3.781442,254.720,7.365
1,6.297,0.4487867,-4.267095,254.720,6.862
1,6.397,0.3170075,-4.749461,254.720,6.362
1,6.498,0.1851104,-5.232258,254.720,5.862
1,6.598,0.05309063,-5.715504,254.720,5.361
1,6.698,-0.07884727,-6.198451,254.720,4.861
1,6.799,-0.2116257,-6.684474,254.720,4.357
1,6.899,-0.3433946,-7.166801,254.720,3.857
1,6.999,-0.4756869,-7.651045,254.720,3.356
1,7.099,-0.6077312,-8.13438,254.720,2.856
1,7.200,-0.7398959,-8.618157,254.720,2.355
1,7.300,-0.8725981,-9.103902,254.720,1.853
1,0.000,-0.2243859,4.455155,90.000,14.246
1,0.155,-0.2243859,4.455155,90.000,14.246
1,0.259,-0.2243859,4.455155,90.000,14.246
1,0.360,-0.2243859,4.455155,90.000,14.246
1,0.461,-0.2243859,4.455155,90.000,14.246
1,0.561,-0.2243859,4.455155,90.000,14.246
1,0.661,-0.2243859,4.455155,90.000,14.246
1,0.762,-0.2243859,4.455155,90.000,14.246
1,0.863,-0.2243859,4.455155,90.000,14.246
1,0.965,-0.2243859,4.455155,90.209,14.246
1,1.066,-0.2243859,4.455155,92.879,14.246
1,1.168,-0.2399306,4.60208,98.629,14.224
1,1.268,-0.3082044,4.89322,107.383,14.148
1,1.368,-0.4812938,5.305366,117.407,13.975
1,1.469,-0.7508311,5.727998,127.445,13.717
1,1.570,-1.070431,6.077685,137.602,13.419
1,1.671,-1.328092,6.276566,147.646,13.178
1,1.773,-1.627049,6.427304,157.845,12.894
1,1.874,-2.081975,6.564801,167.963,12.457
1,1.975,-2.58365,6.625345,178.083,11.966
1,2.077,-3.090552,6.60256,184.470,11.460
1,2.178,-3.593784,6.572565,181.891,10.958
1,2.278,-4.097627,6.578775,176.416,10.459
1,2.380,-4.60124,6.63187,172.137,9.969
1,2.481,-5.105024,6.704197,172.397,9.483
1,2.583,-5.607601,6.756509,175.976,8.997
1,2.684,-6.113479,6.780219,178.093,8.505
1,2.785,-6.61872,6.793655,179.274,8.013
1,2.887,-7.127766,6.7834,183.459,7.513
1,2.988,-7.631319,6.734093,187.145,7.012
1,3.089,-8.130246,6.663907,189.060,6.510
1,3.190,-8.624618,6.566545,193.598,6.007
1,3.290,-9.107105,6.430293,197.340,5.506
1,3.391,-9.586485,6.274724,198.185,5.003
1,3.492,-10.0658,6.117274,198.178,4.501
1,3.592,-10.54376,5.965978,196.467,4.001
1,3.693,-11.02943,5.833086,194.684,3.499
1,3.794,-11.52186,5.704157,194.672,2.990
1,3.895,-12.01055,5.576208,194.672,2.486
1,3.996,-12.49634,5.449018,194.672,1.986
1,0.000,4.841546,4.681098,90.000,8.514
1,0.144,4.841546,4.681098,90.000,8.514
1,0.287,4.841546,4.681098,90.000,8.514
1,0.388,4.841546,4.681098,90.000,8.514
1,0.488,4.841546,4.681098,90.000,8.514
1,0.589,4.841546,4.681098,90.000,8.514
1,0.689,4.841546,4.681098,90.000,8.514
1,0.789,4.841546,4.681098,90.000,8.514
1,0.889,4.841546,4.711002,90.000,8.486
1,0.990,4.841546,4.905583,90.000,8.304
1,1.090,4.84351,5.249789,88.974,7.983
1,1.191,4.867736,5.732244,84.958,7.528
1,1.292,4.929998,6.232769,81.436,7.045
1,1.393,5.01004,6.733125,80.702,6.558
1,1.495,5.099655,7.232392,78.465,6.070
1,1.595,5.214613,7.721529,75.599,5.583
1,1.696,5.342512,8.209985,75.281,5.093
1,1.797,5.473885,8.694812,73.928,4.608
1,1.898,5.621655,9.180037,72.645,4.117
1,1.999,5.778869,9.656842,70.391,3.633
1,2.099,5.959936,10.12294,67.592,3.148
1,2.200,6.166558,10.58422,63.712,2.657
1,2.302,6.419906,11.02938,56.639,2.153
1,0.000,-10.39115,-7.668706,90.000,22.702
1,0.110,-10.39115,-7.668706,90.000,22.702
1,0.211,-10.39115,-7.668706,90.000,22.702
1,0.311,-10.39115,-7.668706,90.000,22.702
1,0.411,-10.39115,-7.668706,90.000,22.702
1,0.521,-10.39115,-7.668706,90.000,22.702
1,0.622,-10.39115,-7.668706,90.000,22.702
1,0.722,-10.39115,-7.668706,90.000,22.702
1,0.822,-10.39115,-7.668706,90.000,22.702
1,0.923,-10.39115,-7.668706,90.000,22.702
1,1.024,-10.39115,-7.668706,88.828,22.702
1,1.125,-10.39079,-7.664882,84.612,22.702
1,1.226,-10.36887,-7.536461,77.310,22.676
1,1.326,-10.27991,-7.263782,67.549,22.582
1,1.426,-10.07489,-6.877834,57.548,22.375
1,1.527,-9.76661,-6.479422,47.460,22.072
1,1.627,-9.395904,-6.143217,37.438,21.711
1,1.728,-8.969358,-5.875204,27.350,21.297
1,1.829,-8.50191,-5.685811,17.250,20.840
1,1.936,-7.98142,-5.578268,6.605,20.328
1,2.036,-7.481873,-5.565892,357.001,19.830
1,2.136,-6.982362,-5.626453,350.015,19.328
1,2.237,-6.489999,-5.733897,346.072,18.829
1,2.344,-5.976,-5.868461,345.108,18.308
1,2.445,-5.487168,-5.997803,345.499,17.813
1,2.545,-4.998051,-6.112667,348.533,17.318
1,2.646,-4.500551,-6.188336,354.427,16.818
1,2.747,-3.994738,-6.214782,359.010,16.311
1,2.848,-3.489347,-6.214547,0.512,15.807
1,2.950,-2.982728,-6.21002,0.512,15.301
1,3.051,-2.477437,-6.205505,0.512,14.796
1,3.151,-1.975213,-6.201018,0.512,14.295
1,3.252,-1.469329,-6.196498,0.512,13.790
1,3.353,-0.967873,-6.192018,0.512,13.290
1,3.454,-0.4609316,-6.191712,359.065,12.784
1,3.554,0.04032549,-6.216689,355.244,12.282
1,3.655,0.5391624,-6.267882,353.562,11.781
1,3.755,1.0376,-6.324154,353.584,11.280
1,3.855,1.536965,-6.37398,355.496,10.779
1,3.956,2.037786,-6.399022,358.307,10.277
1,4.057,2.543097,-6.411569,358.623,9.772
1,4.157,3.046519,-6.423666,358.623,9.269
1,4.258,3.547835,-6.435714,358.623,8.767
1,4.358,4.048213,-6.447739,358.623,8.267
1,4.459,4.555213,-6.459923,358.623,7.760
1,4.560,5.057993,-6.472005,358.623,7.258
1,4.661,5.564224,-6.486139,357.757,6.752
1,4.762,6.0674,-6.514867,356.182,6.248
1,4.863,6.571279,-6.548492,356.217,5.743
1,4.964,7.07678,-6.575616,357.800,5.237
1,5.065,7.581687,-6.593019,358.060,4.732
1,5.165,8.081857,-6.614439,356.669,4.232
1,5.266,8.582127,-6.647221,356.154,3.730
1,5.366,9.081017,-6.680758,356.154,3.230
1,5.466,9.581883,-6.71418,356.368,2.729
1,5.567,10.08679,-6.738691,357.873,2.223
1,5.668,10.59308,-6.757258,357.901,1.718
1,0.000,6.872331,1.930051,90.000,5.401
1,0.176,6.872331,1.930051,90.000,5.401
1,0.277,6.872331,1.930051,90.000,5.401
1,0.378,6.872331,1.930051,90.000,5.401
1,0.478,6.872331,1.930051,90.000,5.401
1,0.578,6.872331,1.930051,90.000,5.401
1,0.679,6.872331,1.930051,90.000,5.401
1,0.780,6.872331,1.930051,90.000,5.401
1,0.881,6.872331,1.930051,90.000,5.401
1,0.982,6.872331,1.930051,90.000,5.401
1,1.083,6.872331,1.930051,90.000,5.401
1,1.184,6.872331,1.930051,90.000,5.401
1,1.285,6.872331,1.930051,90.000,5.401
1,1.385,6.872331,1.930051,90.000,5.401
1,1.489,6.872331,1.930051,90.000,5.401
1,1.589,6.872331,1.930051,90.000,5.401
1,1.689,6.872331,1.930051,91.123,5.401
1,1.789,6.871081,1.945792,95.248,5.386
1,1.895,6.843579,2.106941,102.848,5.230
1,1.996,6.744747,2.407008,112.387,4.919
1,2.097,6.537468,2.82084,119.653,4.456
1,2.197,6.276679,3.250344,121.206,3.954
1,2.298,6.026575,3.68848,117.980,3.450
1,2.403,5.790452,4.160214,115.852,2.923
1,2.504,5.570759,4.614264,115.819,2.419
1,2.605,5.351468,5.067504,115.819,1.916
1,0.000,-2.409454,12.43639,90.000,11.722
1,0.128,-2.409454,12.43639,90.000,11.722
1,0.233,-2.409454,12.43639,90.000,11.722
1,0.333,-2.409454,12.43639,90.000,11.722
1,0.433,-2.409454,12.43639,90.000,11.722
1,0.533,-2.409454,12.43639,90.000,11.722
1,0.633,-2.409454,12.43639,90.000,11.722
1,0.735,-2.409454,12.43639,90.000,11.722
1,0.835,-2.409454,12.43639,90.000,11.722
1,0.942,-2.409454,12.43639,90.000,11.722
1,1.043,-2.409454,12.43639,90.000,11.722
1,1.143,-2.409454,12.43639,90.000,11.722
1,1.249,-2.409454,12.43639,90.000,11.722
1,1.350,-2.409454,12.43639,90.000,11.722
1,1.450,-2.409454,12.43639,90.000,11.722
1,1.551,-2.409454,12.43639,90.000,11.722
1,1.651,-2.409454,12.43639,90.000,11.722
1,1.752,-2.409454,12.43639,90.000,11.722
1,1.852,-2.409454,12.43639,89.981,11.722
1,1.952,-2.409454,12.43639,88.127,11.722
1,2.058,-2.404337,12.4884,82.936,11.752
1,2.159,-2.361257,12.69967,74.856,11.895
1,2.259,-2.231199,13.04331,64.819,12.183
1,2.359,-1.982948,13.46442,54.798,12.616
1,2.460,-1.658343,13.84521,44.778,13.095
